Timestamp,X,Y,Z
20250207111058,-3386,-763,16120
20250207111059,-3379,-774,16126
20250207111100,-3381,-735,16166
20250207111101,-1597,-5469,15635
20250207111102,-2068,-4178,15806
20250207111103,-170,-12634,12181
20250207111104,-191,-10797,12764
20250207111105,-742,-9246,13807
20250207111106,-377,-14946,8528
20250207111107,-306,-13480,9337
20250207111108,-61,-13762,10182
20250207111109,-270,-15298,6636
20250207111110,-129,-15029,7220
20250207111111,-166,-14927,7485
20250207111112,-169,-14948,7490
20250207111113,-140,-15005,7418
20250207111114,-127,-14970,7398
20250207111115,-186,-14995,7356
20250207111116,-156,-15065,7357
20250207111117,-147,-15045,7314
20250207111118,-135,-15005,7337
20250207111119,-119,-15054,7291
20250207111120,-89,-15010,7258
20250207111121,-125,-15135,7167
20250207111122,-93,-15074,7153
20250207111123,-73,-15136,7127
20250207111124,-206,-15184,7147
20250207111125,-10,-15181,7060
20250207111126,-159,-15155,6992
20250207111127,-144,-15180,6991
20250207111128,-120,-15204,6976
20250207111129,-147,-15206,6933
20250207111130,-100,-15239,6923
20250207111131,6551,-13883,6638
20250207111132,1159,-7442,16801
20250207111133,-928,-59,16470
20250207111134,-1820,-768,16078
20250207111135,-1,10,16872
20250207111136,-1588,6394,8374
20250207111137,5120,-1523,13856
20250207111138,-2753,1083,16031
20250207111139,-462,-36,16474
20250207111140,-521,-118,16485
20250207111141,-521,-161,16519
20250207111142,-564,-137,16497
20250207111143,-664,-172,16503
20250207111144,-685,-456,16496
20250207111145,-6632,-2294,13460
20250207111146,2531,-13203,-4112
20250207111147,-10346,11860,5116
20250207111148,713,-11306,-3735
20250207111149,1003,-12444,10849
20250207111150,-132,-8061,14567
20250207111151,-237,-7734,14671
20250207111152,-149,-7702,14696
20250207111153,-123,-7717,14655
20250207111154,-1211,-5662,15431
20250207111155,-14944,1531,6290
20250207111156,-8112,-4970,13329
20250207111157,-2799,-11669,14032
20250207111158,1573,-10172,528
20250207111159,-4196,470,14851
20250207111200,-7052,1220,14017
20250207111201,-102,-633,16521
20250207111202,-126,-700,16488
20250207111203,-102,-654,16490
20250207111204,-115,-627,16506
20250207111205,-118,-628,16499
20250207111206,-138,-572,16487
20250207111207,-142,-537,16508
20250207111208,-142,-542,16475
20250207111209,-190,-409,16500
20250207111210,-244,-450,16472
20250207111211,-254,-443,16500
20250207111212,-261,-312,16510
20250207111213,-268,-315,16507
20250207111214,-258,-310,16490
20250207111215,-286,-329,16473
20250207111216,-291,-200,16481
20250207111217,-324,-245,16501
20250207111218,-343,-167,16475
20250207111219,-322,-164,16477
20250207111220,-344,-139,16501
20250207111221,-329,-117,16483
20250207111222,-319,-127,16500
20250207111223,-393,-91,16484
20250207111224,-354,-77,16528
20250207111225,-343,-20,16486
20250207111226,-364,-42,16493
20250207111227,-348,10,16527
20250207111228,-424,-50,16462
20250207111229,-375,-39,16451
20250207111230,-467,-41,16518
20250207111231,-426,-29,16537
20250207111232,-466,-43,16428
20250207111233,-397,48,16499
20250207111234,-412,-46,16439
20250207111235,-407,6,16436
20250207111236,-364,-28,16472
20250207111237,-443,-53,16576
20250207111238,-418,-22,16505
20250207111239,-398,-27,16484
20250207111240,-308,-66,16472
20250207111241,-406,-45,16477
20250207111242,-359,17,16445
20250207111243,-408,-20,16494
20250207111244,-404,-29,16504
20250207111245,-402,1,16516
20250207111246,-455,-29,16471
20250207111247,-444,-25,16514
20250207111248,-458,-28,16479
20250207111249,-525,-7,16419
20250207111250,-444,-18,16481
20250207111251,-468,-4,16507
20250207111252,-490,-18,16458
20250207111253,-463,-6,16482
20250207111254,-442,-12,16456
20250207111255,-442,-17,16482
20250207111256,-457,-29,16502
20250207111257,-440,-22,16478
20250207111258,-521,-7,16505
20250207111259,-481,-7,16483
