_id,_rev,x,y,z
7864751d752e715b4959f9bb4105902b,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb410598b7,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4105a29e,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb4105adf1,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb4105b92a,1-d1deb8d5f08297e665bc1b378ab2d693,0.43,-0.43,0.06
7864751d752e715b4959f9bb4105c2c9,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4105cdc4,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb4105d859,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4105e1d0,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4105f03a,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb4105fae7,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41060767,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb41060ded,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41061cf2,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb41062bc5,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41063a60,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41063cdb,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb41064a36,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41064c8e,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41064c95,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41065a0a,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb41066021,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41066f87,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb4106775d,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb4106777a,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41067db0,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb410683d0,1-cbae05a4b5429e7ce5a0acc34a73672f,0.37,-0.37,0.06
7864751d752e715b4959f9bb41068bb1,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
7864751d752e715b4959f9bb410690c0,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41069ae4,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4106a383,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4106a9f9,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4106b745,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4106bdbd,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4106cc69,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4106cfdf,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4106dea1,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4106eac7,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb4106f64d,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb410703c6,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb410711e9,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb41071210,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41071427,1-01f914352a710f7dd3d1fa38745b7ec5,0.49,-0.37,0.12
7864751d752e715b4959f9bb41071647,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41071653,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb410718e0,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41071ba4,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41072069,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb41072cad,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb4107325e,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb410737b0,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb4107382d,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41073e73,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb41074107,1-3c7fd7317815aec94aab9e9ec826b5fb,0.43,-0.37,0.06
7864751d752e715b4959f9bb410748cb,1-e794fe299a6c2aeb2e13042ca00e0c52,0.49,-0.37,0.06
7864751d752e715b4959f9bb41074da1,1-d418945de17b97f665e27094c871b746,0.43,-0.43,0.12
7864751d752e715b4959f9bb4107523f,1-1fdcbb91714c796d10b5736498cdbdd2,0.43,-0.37,0.12
7864751d752e715b4959f9bb410754c6,1-4c4b377d2ba2090ea78974b16c95339e,0.37,-0.37,0.12
7864751d752e715b4959f9bb41075b4d,1-49d652cc6bb7b176ede004d769b1890b,4.27,-3.23,-0.85
7864751d752e715b4959f9bb41076831,1-2ca973e1333cb4acf3c161903ff965e3,3.36,4.09,-2.14
7864751d752e715b4959f9bb4107697a,1-98de583150b041027cd166007959e3cc,0.18,-2.69,0.12
7864751d752e715b4959f9bb4107711a,1-0c3b077f3621f7ad8d948f1bc635d99c,5.8,9.64,1.4
7864751d752e715b4959f9bb410778c6,1-57126544c145650a2151816625eb7271,161.93,91.67,93.2
7864751d752e715b4959f9bb41077bd0,1-cf612d8c9f09e7ba039ee23476cf5b52,-56.03,-110.9,-30.82
